Country,T_Union
Australia,13.7
Austria,26.3
Brazil,
Belgium,50.3
Canada,25.9
Switzerland,15
Chile,18
China,
Colombia,
Costa Rica,
Czech Republic,11.5
Germany,16.5
Denmark,66.5
Spain,13.6
Estonia,4.3
Finland,60.3
France,8.8
United Kingdom,23.4
Greece,20
Hungary,7.9
Indonesia,
India,
Ireland,24.1
Iceland,91.8
Israel,25
Italy,34.4
Japan,17
"Korea, Rep.",10.5
Lithuania,7.1
Luxembourg,31.8
Latvia,11.9
Mexico,12
Malaysia,
Netherlands,16.4
Norway,49.2
New Zealand,18.8
Poland,10
Portugal,14
Russian Federation,
Slovak Republic,8
Slovenia,19
Sweden,64.9
Thailand,
Turkey,9.2
United States,10.1
South Africa,
